DESCRIPTION,UPC,PRICE,AVAIL,ORDER,TOTAL,TYPE,BRAND
CK IN 2 U 3.4 EDT M  (101090),031655888620,13.75,117,,,Regular,CALVIN KLEIN
ROSE NOIRE ABSOLUTE 3.3 EDT M  (104270),037361007263,3,830,,,Regular,GIORGIO VALENTI
SPIRIT MILLIONAIRE 3.4 M +6.6 DEO (LOMANI)  (104281),037361007935,11.25,317,,,Set,LOMANI
KIM KARDASHIAN PURE HONEY 3.4 EDP L  (112311),049398940116,13,48,,,Regular,KIM KARDASHIAN
KIM KARDASHIAN TRUE REFLECTION 3.4 EDP L  (112434),049398940130,13.5,228,,,Regular,KIM KARDASHIAN
UNBREAKABLE LOVE 3.4 EDT L  (108776),049398961036,6,102,,,Regular,UNDEFINED
KIM KARDASHIAN GLAM 3.4 EDP L  (112435),049398967663,13.5,144,,,Regular,KIM KARDASHIAN
MINI KIM KARDASHIAN GOLD 7.5ML EDP L  (112450),049398967762,2.5,144,,,Mini,KIM KARDASHIAN
MINI KIM KARDASHIAN 7.5ML EDP L  (112451),049398967779,2.5,144,,,Mini,KIM KARDASHIAN
KIM KARDASHIAN FLEUR FATALE 3.4 EDP L  (112433),049398968172,13.5,189,,,Regular,KIM KARDASHIAN
SUNG HEI 3.4 EDT M TST NO CAP  (112900),067724204015,9.5,192,,,Tester,ALFRED SUNG
VANDERBILT 3.4 EDT L  (103674),075089051120,5.95,999,,,Regular,GLORIA VANDERBILT
BEBE GOLD 3.4 EDP L  (100440),085715135155,10,93,,,Regular,BEBE
BEBE DESIRE 1.7 EDP L  (106555),085715135377,7,121,,,Regular,BEBE
BEBE DESIRE 3.4 EDP L  (106672),085715135391,9,36,,,Regular,BEBE
ABERCROMBIE & FITCH FIRST INSTINCT 3.4 EDT M  (105846),085715163103,22,6,,,Regular,ABERCROMBIE
ABERCROMBIE & FITCH FIRST INSTIN 3.4 EDT M TST   (106725),085715163110,18.5,309,,,Tester,ABERCROMBIE
ABERCROMBIE & FITCH FIRST INSTINCT BLUE 3.4 EDT M  (111402),085715167019,23,999,,,Regular,ABERCROMBIE
ABERCROM & FITCH FIRST INSTINCT BLUE 3.4 EDT M TST  (111403),085715167040,18,531,,,Tester,ABERCROMBIE
ABERCROMBIE & FITCH FIRST INSTINCT BLUE 3.4 EDP L  (111604),085715167224,23.5,468,,,Regular,ABERCROMBIE
ABERCROMBIE & FITCH FIRST INST BLUE 3.4 EDP L+MINI (TRAVEL SET) (112425),085715167361,22.5,477,,,Set,ABERCROMBIE
HOLLISTER WAVE 2 3.4 EDT M  (110887),085715260116,13,278,,,Regular,HOLLISTER
HOLLISTER WAVE 3.4 EDP L  (106497),085715261014,12.5,999,,,Regular,HOLLISTER
HOLLISTER WAVE 2 3.4 EDP L  (110885),085715261113,12.5,735,,,Regular,HOLLISTER
GAP 1969 BRIGHT 3.4 EDT L   (108480),085715307620,11,58,,,Regular,GAP
GUESS 1981 INDIGO 3.4 EDT L  (112105),085715321916,13,999,,,Regular,GUESS
"BANANA REPUBLIC ""M"" 4.2 EDT M  (107897)",085715409164,14.5,177,,,Regular,BANANA REPUBLIC
BANANA REPUBLIC CLASSIC 4.2 EDT M  (107898),085715418074,14,402,,,Regular,BANANA REPUBLIC
"BANANA REPUBLIC ""W"" 4.2 EDP L  (108013)",085715419101,16.5,52,,,Regular,BANANA REPUBLIC
OSCAR RENTA GENTLEMAN 3.4 EDT M  (107692),085715563002,14,11,,,Regular,OSCAR DE LA RENTA
OSCAR RENTA 1.0 EDT L  (105434),085715567000,10,999,,,Regular,OSCAR DE LA RENTA
ROSA AMOR 3.4 EDT L 2 PCS+6.7 B/L  (TRAVEL SET) (105343),085715581457,14,198,,,Set,OSCAR DE LA RENTA
OSCAR RENTA EXTRAORD 3.0 EDP L+3.4 BL+3.4 SG (TRAVEL SET) (107691),085715591678,25,72,,,Set,OSCAR DE LA RENTA
OSCAR RENTA 3.4 EDT L+8.4 B/MIST+MINI 15ML (HB SET) (112414),085715592033,24,999,,,Set,OSCAR DE LA RENTA
